request_type,priority,department,amount,status
5,2,5,75346,2
0,0,4,54528,1
0,2,2,183276,0
2,2,1,142364,0
2,2,0,11462,0
3,1,5,197110,1
3,2,2,106796,1
3,0,4,161121,1
5,1,0,14053,0
0,2,4,146963,1
2,0,2,101093,2
4,0,3,10630,0
4,2,4,17063,0
5,0,4,56363,1
4,2,1,17302,0
4,1,1,10744,0
1,0,3,1242,1
2,1,3,43602,0
2,2,5,52804,0
2,0,0,13230,1
0,2,2,149495,1
1,2,5,4976,0
1,1,3,3296,0
4,2,5,28142,1
0,2,4,170732,1
4,0,4,11103,0
5,1,0,50867,2
2,2,1,152477,2
2,2,3,178654,2
3,2,2,141256,1
5,0,2,45783,0
4,2,5,13046,0
2,2,5,23673,0
1,0,2,803,1
5,0,3,21703,0
4,1,3,8910,0
3,2,1,153646,1
0,2,0,32962,1
4,0,4,4056,0
3,0,4,32434,2
5,0,1,7780,0
5,2,3,40292,0
4,2,5,3141,0
1,1,0,2260,0
4,2,0,10117,0
2,1,3,153762,2
1,0,1,3301,1
4,0,0,6530,0
1,1,1,397,0
1,2,4,3833,0
2,0,1,25031,1
3,1,3,81534,1
1,0,3,3138,1
5,2,1,83017,2
2,0,4,127221,2
1,1,3,691,0
4,2,2,27568,1
3,1,0,88766,1
2,0,5,28333,1
1,1,5,1570,0
3,1,5,20333,0
3,0,2,161826,1
3,0,4,130998,1
3,1,3,164350,1
0,0,3,194740,0
1,2,4,1708,0
3,0,4,10362,0
2,1,1,38632,0
4,1,1,25177,1
2,0,0,14836,1
2,0,4,146984,2
4,2,0,26986,1
4,1,4,17150,0
4,2,0,29810,1
3,2,0,88741,1
1,2,2,4437,0
0,1,2,35541,1
0,0,1,113159,1
2,2,4,157763,2
1,0,1,1097,1
0,0,0,36108,1
3,2,5,177822,1
2,2,0,140973,2
4,2,3,17382,0
1,0,4,2089,1
4,0,3,9450,0
3,0,0,75279,1
1,1,3,2515,0
4,1,3,23048,1
0,2,0,184982,1
2,2,4,46168,0
1,1,0,1112,0
5,0,4,94634,1
5,2,4,42264,0
2,2,0,70810,0
2,0,4,113976,2
4,1,4,12845,0
0,1,3,34261,0
5,2,5,53230,2
4,1,5,21162,1
3,1,4,100388,1
0,2,4,124023,1
2,0,5,199548,2
5,0,2,57726,1
3,1,2,190598,1
5,2,5,79158,2
0,0,4,168967,1
5,1,4,59328,2
2,0,5,118433,2
1,1,4,1939,0
4,0,4,25717,1
5,2,3,12631,0
4,1,0,14620,0
0,0,2,34893,1
0,1,0,73578,1
3,2,3,175967,1
2,2,2,28072,0
0,0,1,14885,1
0,0,2,76770,2
1,2,0,253,1
3,0,2,143648,1
4,1,0,10101,0
5,2,0,65288,0
1,0,4,3314,1
0,2,0,5947,1
1,1,5,4166,0
2,1,5,108115,2
2,2,2,146048,2
4,1,1,21688,1
5,2,4,50086,2
0,0,5,26275,1
1,2,0,4213,0
4,2,1,27960,1
3,2,4,32799,1
0,0,3,139066,0
5,2,1,91627,2
5,2,5,37991,0
2,1,4,193348,2
1,2,5,1018,2
0,0,4,57240,1
1,2,4,736,0
4,0,2,3891,0
2,0,5,34573,1
4,1,5,16502,0
4,1,4,10713,0
5,0,3,47452,1
1,1,3,2539,0
0,1,0,163304,1
4,1,1,2572,0
4,2,2,6750,0
1,0,5,2376,1
5,2,4,76340,2
4,0,0,12876,0
0,0,5,53423,1
1,0,1,934,1
4,2,1,15296,0
3,1,1,83139,1
0,1,0,174253,1
3,2,3,115863,1
4,2,3,29685,1
0,0,1,83368,1
3,2,3,123820,1
5,2,5,26426,0
1,1,4,2720,0
